name,cell type,notes
CEMDL,sensory neuron,
CEMDR,sensory neuron,
CEMVL,sensory neuron,
CEMVR,sensory neuron,
MCML,interneuron,
MCMR,interneuron,
R1AL,sensory neuron,
R1AR,sensory neuron,
R1BL,sensory neuron,
R1BR,sensory neuron,
R2AL,sensory neuron,
R2AR,sensory neuron,
R2BL,sensory neuron,
R2BR,sensory neuron,
R3AL,sensory neuron,
R3AR,sensory neuron,
R3BL,sensory neuron,
R3BR,sensory neuron,
R4AL,sensory neuron,
R4AR,sensory neuron,
R4BL,sensory neuron,
R4BR,sensory neuron,
R5AL,sensory neuron,
R5AR,sensory neuron,
R5BL,sensory neuron,
R5BR,sensory neuron,
R6AL,sensory neuron,
R6AR,sensory neuron,
R6BL,sensory neuron,
R6BR,sensory neuron,
R7AL,sensory neuron,
R7AR,sensory neuron,
R7BL,sensory neuron,
R7BR,sensory neuron,
R8AL,sensory neuron,
R8AR,sensory neuron,
R8BL,sensory neuron,
R8BR,sensory neuron,
R9AL,sensory neuron,
R9AR,sensory neuron,
R9BL,sensory neuron,
R9BR,sensory neuron,
PHDL,sensory neuron,
PHDR,sensory neuron,
HOA,sensory neuron,
HOB,sensory neuron,
PCAL,sensory neuron,
PCAR,sensory neuron,
PCBL,sensory neuron,
PCBR,sensory neuron,
PCCL,sensory neuron,
PCCR,sensory neuron,
SPCL,sensory neuron,
SPCR,sensory neuron,
SPDL,sensory neuron,
SPDR,sensory neuron,
SPVL,sensory neuron,
SPVR,sensory neuron,
PVV,interneuron,
PVX,interneuron,
PVY,interneuron,
PVZ,interneuron,
DVE,interneuron,
DVF,interneuron,
DX1,interneuron,
DX2,interneuron,
DX3,interneuron,
EF1,interneuron,
EF2,interneuron,
EF3,interneuron,
PDC,interneuron,
PGA,interneuron,
CA01,interneuron,
CA02,interneuron,
CA03,interneuron,
CA04,interneuron,
CA05,interneuron,
CA06,interneuron,
CA07,interneuron,
CA08,interneuron,
CA09,interneuron,
CP00,interneuron,
CP01,interneuron,
CP02,interneuron,
CP03,interneuron,
CP04,interneuron,
CP05,interneuron,
CP06,interneuron,
CP07,interneuron,
CP08,interneuron,
CP09,interneuron,
dglL1,muscle,
dglL2,muscle,
dglL3,muscle,
dglL4,muscle,
dglL5,muscle,
dglL6,muscle,
dglL7,muscle,
dglR1,muscle,
dglR2,muscle,
dglR3,muscle,
dglR4,muscle,
dglR5,muscle,
dglR6,muscle,
dglR7,muscle,
dglR8,muscle,
aobL,muscle,
aobR,muscle,
pobL,muscle,
pobR,muscle,
gecL,muscle,
gecR,muscle,
grtL,muscle,
grtR,muscle,
cdlL,muscle,
cdlR,muscle,
ailL,muscle,
ailR,muscle,
pilL,muscle,
pilR,muscle,
polL,muscle,
polR,muscle,
dspL,muscle,
dspR,muscle,
vspL,muscle,
vspR,muscle,
dsrL,muscle,
dsrR,muscle,
vsrL,muscle,
vsrR,muscle,
gonad,endorgan,
R1shL,endorgan,
R1shR,endorgan,
R2shL,endorgan,
R2shR,endorgan,
R3shL,endorgan,
R3shR,endorgan,
R4shL,endorgan,
R4shR,endorgan,
R5shL,endorgan,
R5shR,endorgan,
R6shL,endorgan,
R6shR,endorgan,
R7shL,endorgan,
R7shR,endorgan,
R8shL,endorgan,
R8shR,endorgan,
R9shL,endorgan,
R9shR,endorgan,
