I1L,interneuron
I1R,interneuron
I2L,interneuron
I2R,interneuron
I3,interneuron
I4,interneuron
I5,interneuron
I6,interneuron
M1,motorneuron
M2L,motorneuron
M2R,motorneuron
M3L,motorneuron
M3R,motorneuron
M4,motorneuron
M5,motorneuron
MCL,motorneuron
MCR,motorneuron
MI,motorneuron
NSML,interneuron
NSMR,interneuron
pm1,muscle (myoepithelium)
pm2d,muscle (myoepithelium)
pm2vl,muscle (myoepithelium)
pm2vr,muscle (myoepithelium)
pm3d,muscle (myoepithelium)
pm3vl,muscle (myoepithelium)
pm3vr,muscle (myoepithelium)
pm4d,muscle (myoepithelium)
pm4vl,muscle (myoepithelium)
pm4vr,muscle (myoepithelium)
pm5d,muscle (myoepithelium)
pm5vl,muscle (myoepithelium)
pm5vr,muscle (myoepithelium)
pm6d,muscle (myoepithelium)
pm6vl,muscle (myoepithelium)
pm6vr,muscle (myoepithelium)
pm7d,muscle (myoepithelium)
pm7vl,muscle (myoepithelium)
pm7vr,muscle (myoepithelium)
pm8,muscle (myoepithelium)
mc1dl,marginal cell
mc1dr,marginal cell
mc1v,marginal cell
mc2dl,marginal cell
mc2dr,marginal cell
mc2v,marginal cell
mc3dl,marginal cell
mc3dr,marginal cell
mc3v,marginal cell
e1D,epithelium
e1VL,epithelium
e1VR,epithelium
e2DL,epithelium
e2DR,epithelium
e2V,epithelium
e3D,epithelium
e3VL,epithelium
e3VR,epithelium
g1P,glial cell
g1AL,glial cell
g1AR,glial cell
g2L,glial cell
g2R,glial cell
bm,basement membrane
